Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source,Year of Production,Car Brand,Engine Volume,Price Range,Car Tier,Specialness,Drivetrain_rating
Chevrolet Colorado LT,37450.0,0.0,Summit White,Jet Black,Rear-wheel Drive,Gasoline,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control",1GCPSCEK4P1124037,2023-04-30 11:07:50.083642,Cars.com,2023,Chevrolet,2.7,10k-50k,B-tier,0,6
GMC Yukon XL SLT,80235.0,0.0,Onyx Black,Jet Black,Four-wheel Drive,Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",1GKS2GKD2PR362675,2023-04-30 11:14:14.288580,Cars.com,2023,GMC,5.3,50k-100k,C-tier,0,9
Chevrolet Silverado 2500 LT,68560.0,0.0,Summit White,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2GC4YNEY0P1732567,2023-04-30 12:44:08.417199,Cars.com,2023,Chevrolet,6.6,50k-100k,B-tier,1,9
Chevrolet Silverado 2500 LT,68560.0,0.0,Black,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2GC4YNEY8P1732641,2023-04-30 11:24:23.732658,Cars.com,2023,Chevrolet,6.6,50k-100k,B-tier,1,9
Chevrolet Trailblazer LT,26710.0,0.0,Mosaic Black Metallic,Jet Black,Front-wheel Drive,Gasoline,Automatic,1.3L I3 12V GDI DOHC Turbo,KL79MPSL2PB114136,2023-04-30 11:44:44.829232,Cars.com,2023,Chevrolet,1.3,10k-50k,B-tier,0,5
Volvo XC60 B5 Plus Bright Theme,50107.0,0.0,Crystal White,Blond,All-wheel Drive,Gasoline,AWD,2.0L I4 16V GDI DOHC Turbo,YV4L12RN5P1278320,2023-04-30 12:06:56.423474,Cars.com,2023,Volvo,2.0,50k-100k,B-tier,0,8
Chevrolet Silverado 2500 LT,68560.0,0.0,Silver Ice Metallic,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2GC4YNEY3P1726259,2023-04-30 11:13:16.085563,Cars.com,2023,Chevrolet,6.6,50k-100k,B-tier,1,9
Chevrolet Silverado 2500 LT,68560.0,0.0,Red Hot,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2GC4YNEY2P1732635,2023-04-30 11:23:34.410305,Cars.com,2023,Chevrolet,6.6,50k-100k,B-tier,1,9
Chevrolet Silverado 2500 Custom,63505.0,0.0,Silver Ice Metallic,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2GC4YMEY1P1712127,2023-04-30 11:19:01.723319,Cars.com,2023,Chevrolet,6.6,50k-100k,B-tier,1,9
Chevrolet Silverado 1500 RST,57285.0,0.0,Sterling Gray Metallic,Jet Black,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,3GCUDEED1PG226083,2023-04-30 12:21:54.554549,Cars.com,2023,Chevrolet,5.3,50k-100k,B-tier,0,9
