Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,VIN,TimeStamp,Source,Year of Production,Car Brand
RAM 1500 Limited,69855.0,801.0,Bright White Clearcoat,Black,Four-wheel Drive,Gasoline,8-Speed Automatic,5.7L V8 16V MPFI OHV,1C6SRFHT3NN453854,2023-04-30 10:52:45.308626,Cars.com,2022,RAM
Honda Accord Hybrid Sport,33445.0,10.0,Urban Gray,Black,Front-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,1HGCY2F57PA005190,2023-04-30 10:52:47.389010,Cars.com,2023,Honda
Honda CR-V Hybrid Sport Touring,39845.0,10.0,Meteorite Gray Metallic,–,All-wheel Drive,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS6H9XPH801720,2023-04-30 10:52:51.919237,Cars.com,2023,Honda
GMC Canyon 4WD Elevation,44320.0,3.0,Summit White,Jet Black,Four-wheel Drive,Gasoline,Automatic,Turbocharged Gas I4 2.7L/,1GTP6BEK1P1131378,2023-04-30 10:52:59.654956,Cars.com,2023,GMC
Kia Sportage X-Line,34555.0,18.0,Jungle Green,Black,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V PDI DOHC,5XYK6CAF0PG120297,2023-04-30 10:53:02.833201,Cars.com,2023,Kia
Mazda CX-5 2.5 S Premium,35105.0,3.0,Soul Red Crystal Metallic,Parchment,All-wheel Drive,Gasoline,6-Speed Automatic,2.5L I4 16V GDI DOHC,JM3KFBDM7P0216669,2023-04-30 10:53:06.122558,Cars.com,2023,Mazda
Mazda Mazda3 2.5 Turbo AWD,34685.0,4.0,Machine Gray Metallic,Beige,All-wheel Drive,Gasoline,Automatic,2.5L I4 16V GDI DOHC Turbo,JM1BPBJYXP1609492,2023-04-30 10:53:08.692185,Cars.com,2023,Mazda
Ford Transit-250 Base,48215.0,9.0,Oxford White,Gray,Rear-wheel Drive,E85 Flex Fuel,10-Speed Automatic with Overdrive,3.5L V6 24V PDI DOHC Flexible Fuel,1FTBR1C85PKA24024,2023-04-30 10:53:13.790615,Cars.com,2023,Ford
BMW iX xDrive50,99195.0,11.0,Storm Bay Metallic,Black,All-wheel Drive,Electric,Automatic,Electric,WB523CF07PCM96766,2023-04-30 10:53:17.797115,Cars.com,2023,BMW
BMW M8 Competition,141995.0,17.0,Black Sapphire Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,4.4L V8 32V GDI DOHC Twin Turbo,WBSAE0C04PCM77906,2023-04-30 10:53:21.792061,Cars.com,2023,BMW
