Car Name,Car Price,Car Mileage,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine,Year of Production,Car Brand,Engine Volume,Price Range,Car Tier,Specialness,Drivetrain_rating,Transmission_rating,Car Tier_rating,Fuel Type_rating
Chevrolet Colorado LT,37450.0,0.0,Summit White,Jet Black,Rear-wheel Drive,Gasoline,Automatic,"2.7L I-4 gasoline direct injection, DOHC, variable valve control",2023,Chevrolet,2.7,10k-50k,B-tier,0,6,6,6,6
GMC Yukon XL SLT,80235.0,0.0,Onyx Black,Jet Black,Four-wheel Drive,Gasoline,Automatic,"EcoTec3 5.3L V-8 gasoline direct injection, variable valve contr",2023,GMC,5.3,50k-100k,C-tier,0,9,6,4,6
Chevrolet Silverado 2500 LT,68560.0,0.0,Summit White,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2023,Chevrolet,6.6,50k-100k,B-tier,1,9,6,6,9
Chevrolet Silverado 2500 LT,68560.0,0.0,Black,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2023,Chevrolet,6.6,50k-100k,B-tier,1,9,6,6,9
Chevrolet Trailblazer LT,26710.0,0.0,Mosaic Black Metallic,Jet Black,Front-wheel Drive,Gasoline,Automatic,1.3L I3 12V GDI DOHC Turbo,2023,Chevrolet,1.3,10k-50k,B-tier,0,5,6,6,6
Volvo XC60 B5 Plus Bright Theme,50107.0,0.0,Crystal White,Blond,All-wheel Drive,Gasoline,AWD,2.0L I4 16V GDI DOHC Turbo,2023,Volvo,2.0,50k-100k,B-tier,0,8,4,6,6
Chevrolet Silverado 2500 LT,68560.0,0.0,Silver Ice Metallic,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2023,Chevrolet,6.6,50k-100k,B-tier,1,9,6,6,9
Chevrolet Silverado 2500 LT,68560.0,0.0,Red Hot,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2023,Chevrolet,6.6,50k-100k,B-tier,1,9,6,6,9
Chevrolet Silverado 2500 Custom,63505.0,0.0,Silver Ice Metallic,Jet Black,Four-wheel Drive,Diesel,Automatic,Turbocharged Diesel V8 6.6L/403,2023,Chevrolet,6.6,50k-100k,B-tier,1,9,6,6,9
Chevrolet Silverado 1500 RST,57285.0,0.0,Sterling Gray Metallic,Jet Black,Four-wheel Drive,Gasoline,10-Speed Automatic,5.3L V8 16V GDI OHV,2023,Chevrolet,5.3,50k-100k,B-tier,0,9,10,6,6
